Transcript PK, Syllable PK, Sequence PK
aɪkɒnz, aɪk, 1
aɪkɒnz, kɒ, 2
aɪkɒnz, ɒn, 3
aɪsbɜːg, aɪs, 1
aɪsbɜːg, bɜː, 2
aɪsbɜːg, ɜːg, 3
aɪədiːn, ɪəd, 1
aɪədiːn, diː, 2
aɪədiːn, iːn, 3
aʊtkrɒp, aʊt, 1
aʊtkrɒp, rɒ, 2
aʊtkrɒp, ɒp, 3
aʊtpeɪst, aʊt, 1
aʊtpeɪst, peɪ, 2
aʊtpeɪst, eɪs, 3
aʊtpəfɔːmɪŋ, aʊt, 1
aʊtpəfɔːmɪŋ, pə, 2
aʊtpəfɔːmɪŋ, əf, 3
aʊtpəfɔːmɪŋ, fɔː, 4
aʊtpəfɔːmɪŋ, ɔːm, 5
aʊtpəfɔːmɪŋ, mɪ, 6
aʊtpəfɔːmɪŋ, ɪŋ, 7
aʊtpəʊsts, aʊt, 1
aʊtpəʊsts, pəʊ, 2
aʊtpəʊsts, əʊs, 3
aʊtskɜːts, aʊt, 1
aʊtskɜːts, kɜː, 2
aʊtskɜːts, ɜːt, 3
aʊtspendɪŋ, aʊt, 1
aʊtspendɪŋ, pe, 2
aʊtspendɪŋ, en, 3
aʊtspendɪŋ, dɪ, 4
aʊtspendɪŋ, ɪŋ, 5
aʊtstrɪpɪŋ, aʊt, 1
aʊtstrɪpɪŋ, rɪ, 2
aʊtstrɪpɪŋ, ɪp, 3
aʊtstrɪpɪŋ, pɪ, 4
aʊtstrɪpɪŋ, ɪŋ, 5
bægpaɪpsiz, bæ, 1
bægpaɪpsiz, æg, 2
bægpaɪpsiz, paɪ, 3
bægpaɪpsiz, aɪp, 4
bægpaɪpsiz, si, 5
bægpaɪpsiz, iz, 6
dedli_naɪtʃeɪd, de, 1
dedli_naɪtʃeɪd, ed, 2
dedli_naɪtʃeɪd, li, 3
dedli_naɪtʃeɪd, naɪ, 4
dedli_naɪtʃeɪd, aɪtʃ, 5
dedli_naɪtʃeɪd, tʃeɪ, 6
dedli_naɪtʃeɪd, eɪd, 7
dʒenəreɪʃənl, dʒe, 1
dʒenəreɪʃənl, en, 2
dʒenəreɪʃənl, nə, 3
dʒenəreɪʃənl, ər, 4
dʒenəreɪʃənl, reɪ, 5
dʒenəreɪʃənl, eɪʃ, 6
dʒenəreɪʃənl, ʃə, 7
dʒenəreɪʃənl, ən, 8
dʒerimændərɪŋ, dʒe, 1
dʒerimændərɪŋ, er, 2
dʒerimændərɪŋ, ri, 3
dʒerimændərɪŋ, im, 4
dʒerimændərɪŋ, mæ, 5
dʒerimændərɪŋ, æn, 6
dʒerimændərɪŋ, də, 7
dʒerimændərɪŋ, ər, 8
dʒerimændərɪŋ, rɪ, 9
dʒerimændərɪŋ, ɪŋ, 10
dʒet_skiːɪŋ, dʒe, 1
dʒet_skiːɪŋ, et, 2
dʒet_skiːɪŋ, kiː, 3
dʒet_skiːɪŋ, ɪŋ, 4
dʒiːnz, dʒiː, 1
dʒiːnz, iːn, 2
dʒæb, dʒæ, 1
dʒæb, æb, 2
dʒərɑːfs, dʒə, 1
dʒərɑːfs, ər, 2
dʒərɑːfs, rɑː, 3
dʒərɑːfs, ɑːf, 4
dʒɪmz, dʒɪ, 1
dʒɪmz, ɪm, 2
dʒɪndʒər, dʒɪ, 1
dʒɪndʒər, ɪn, 2
dʒɪndʒər, dʒə, 3
dʒɪndʒər, ər, 4
dʒʌmbld, dʒʌ, 1
dʒʌmbld, ʌm, 2
faɪnd, faɪ, 1
faɪnd, aɪn, 2
faɪnz, faɪ, 1
faɪnz, aɪn, 2
faɪnəlɪsts, faɪ, 1
faɪnəlɪsts, aɪn, 2
faɪnəlɪsts, nə, 3
faɪnəlɪsts, əl, 4
faɪnəlɪsts, lɪ, 5
faɪnəlɪsts, ɪs, 6
faɪtər, faɪ, 1
faɪtər, aɪt, 2
faɪtər, tə, 3
faɪtər, ər, 4
feləni, fe, 1
feləni, el, 2
feləni, lə, 3
feləni, ən, 4
feləni, ni, 5
felər, fe, 1
felər, el, 2
felər, lə, 3
felər, ər, 4
festɪvətiz, fe, 1
festɪvətiz, es, 2
festɪvətiz, tɪ, 3
festɪvətiz, ɪv, 4
festɪvətiz, və, 5
festɪvətiz, ət, 6
festɪvətiz, ti, 7
festɪvətiz, iz, 8
fetlɒk, fe, 1
fetlɒk, et, 2
fetlɒk, lɒ, 3
fetlɒk, ɒk, 4
feɪvərɪtɪzəm, feɪ, 1
feɪvərɪtɪzəm, eɪv, 2
feɪvərɪtɪzəm, və, 3
feɪvərɪtɪzəm, ər, 4
feɪvərɪtɪzəm, rɪ, 5
feɪvərɪtɪzəm, ɪt, 6
feɪvərɪtɪzəm, tɪ, 7
feɪvərɪtɪzəm, ɪz, 8
feɪvərɪtɪzəm, zə, 9
feɪvərɪtɪzəm, əm, 10
fiːt, fiː, 1
fiːt, iːt, 2
fiːvərz, fiː, 1
fiːvərz, iːv, 2
fiːvərz, və, 3
fiːvərz, ər, 4
fjuːdʒətɪviz, juː, 1
fjuːdʒətɪviz, uːdʒ, 2
fjuːdʒətɪviz, dʒə, 3
fjuːdʒətɪviz, ət, 4
fjuːdʒətɪviz, tɪ, 5
fjuːdʒətɪviz, ɪv, 6
fjuːdʒətɪviz, vi, 7
fjuːdʒətɪviz, iz, 8
fjuːzɪŋ, juː, 1
fjuːzɪŋ, uːz, 2
fjuːzɪŋ, zɪ, 3
fjuːzɪŋ, ɪŋ, 4
flaʊtɪŋ, laʊ, 1
flaʊtɪŋ, aʊt, 2
flaʊtɪŋ, tɪ, 3
flaʊtɪŋ, ɪŋ, 4
flægʃɪp, læ, 1
flægʃɪp, æg, 2
flægʃɪp, ʃɪ, 3
flægʃɪp, ɪp, 4
flɔːbɔːd, lɔː, 1
flɔːbɔːd, ɔːb, 2
flɔːbɔːd, bɔː, 3
flɔːbɔːd, ɔːd, 4
flɔːnts, lɔː, 1
flɔːnts, ɔːn, 2
flɔːrəl, lɔː, 1
flɔːrəl, ɔːr, 2
flɔːrəl, rə, 3
flɔːrəl, əl, 4
fləmɪŋgəʊz, lə, 1
fləmɪŋgəʊz, əm, 2
fləmɪŋgəʊz, mɪ, 3
fləmɪŋgəʊz, ɪŋ, 4
fləmɪŋgəʊz, gəʊ, 5
fləmɪŋgəʊz, əʊz, 6
flɪp, lɪ, 1
flɪp, ɪp, 2
flʌfi, lʌ, 1
flʌfi, ʌf, 2
flʌfi, fi, 3
fraɪz, raɪ, 1
fraɪz, aɪz, 2
freɪd, reɪ, 1
freɪd, eɪd, 2
freɪgrənt, reɪ, 1
freɪgrənt, eɪg, 2
freɪgrənt, rə, 3
freɪgrənt, ən, 4
frikwentɪd, ri, 1
frikwentɪd, ik, 2
frikwentɪd, we, 3
frikwentɪd, en, 4
frikwentɪd, tɪ, 5
frikwentɪd, ɪd, 6
friːkwənt, riː, 1
friːkwənt, iːk, 2
friːkwənt, wə, 3
friːkwənt, ən, 4
friːkɪʃ, riː, 1
friːkɪʃ, iːk, 2
friːkɪʃ, kɪ, 3
friːkɪʃ, ɪʃ, 4
friːz, riː, 1
friːz, iːz, 2
fræktʃər, ræ, 1
fræktʃər, æk, 2
fræktʃər, tʃə, 3
fræktʃər, ər, 4
fræntʃaɪziz, ræ, 1
fræntʃaɪziz, æn, 2
fræntʃaɪziz, tʃaɪ, 3
fræntʃaɪziz, aɪz, 4
fræntʃaɪziz, zi, 5
fræntʃaɪziz, iz, 6
frɒsti, rɒ, 1
frɒsti, ɒs, 2
frɒsti, ti, 3
frʌntlaɪn, rʌ, 1
frʌntlaɪn, ʌn, 2
frʌntlaɪn, laɪ, 3
frʌntlaɪn, aɪn, 4
frʌstreɪʃnz, rʌ, 1
frʌstreɪʃnz, ʌs, 2
frʌstreɪʃnz, reɪ, 3
frʌstreɪʃnz, eɪʃ, 4
fɒnd, fɒ, 1
fɒnd, ɒn, 2
fɔːmældɪhaɪd, fɔː, 1
fɔːmældɪhaɪd, ɔːm, 2
fɔːmældɪhaɪd, mæ, 3
fɔːmældɪhaɪd, æl, 4
fɔːmældɪhaɪd, dɪ, 5
fɔːmældɪhaɪd, ɪh, 6
fɔːmældɪhaɪd, haɪ, 7
fɔːmældɪhaɪd, aɪd, 8
fɔːsiːn, fɔː, 1
fɔːsiːn, ɔːs, 2
fɔːsiːn, siː, 3
fɔːsiːn, iːn, 4
fəgɪvnəs, fə, 1
fəgɪvnəs, əg, 2
fəgɪvnəs, gɪ, 3
fəgɪvnəs, ɪv, 4
fəgɪvnəs, nə, 5
fəgɪvnəs, əs, 6
fəment, fə, 1
fəment, əm, 2
fəment, me, 3
fəment, en, 4
fəmentɪd, fə, 1
fəmentɪd, əm, 2
fəmentɪd, me, 3
fəmentɪd, en, 4
fəmentɪd, tɪ, 5
fəmentɪd, ɪd, 6
fətæləti, fə, 1
fətæləti, ət, 2
fətæləti, tæ, 3
fətæləti, æl, 4
fətæləti, lə, 5
fətæləti, ət, 6
fətæləti, ti, 7
fəʊliɪdʒ, fəʊ, 1
fəʊliɪdʒ, əʊl, 2
fəʊliɪdʒ, li, 3
fəʊliɪdʒ, ɪdʒ, 4
fəʊm, fəʊ, 1
fəʊm, əʊm, 2
fəʊtəʊdʒenɪk, fəʊ, 1
fəʊtəʊdʒenɪk, əʊt, 2
fəʊtəʊdʒenɪk, təʊ, 3
fəʊtəʊdʒenɪk, əʊdʒ, 4
fəʊtəʊdʒenɪk, dʒe, 5
fəʊtəʊdʒenɪk, en, 6
fəʊtəʊdʒenɪk, nɪ, 7
fəʊtəʊdʒenɪk, ɪk, 8
fəʊtəʊsɪnθəsaɪz, fəʊ, 1
fəʊtəʊsɪnθəsaɪz, əʊt, 2
fəʊtəʊsɪnθəsaɪz, təʊ, 3
fəʊtəʊsɪnθəsaɪz, əʊs, 4
fəʊtəʊsɪnθəsaɪz, sɪ, 5
fəʊtəʊsɪnθəsaɪz, ɪn, 6
fəʊtəʊsɪnθəsaɪz, θə, 7
fəʊtəʊsɪnθəsaɪz, əs, 8
fəʊtəʊsɪnθəsaɪz, saɪ, 9
fəʊtəʊsɪnθəsaɪz, aɪz, 10
fɜːst_hænd, fɜː, 1
fɜːst_hænd, ɜːs, 2
fɜːst_hænd, hæ, 3
fɜːst_hænd, æn, 4
fɪgəriːn, fɪ, 1
fɪgəriːn, ɪg, 2
fɪgəriːn, gə, 3
fɪgəriːn, ər, 4
fɪgəriːn, riː, 5
fɪgəriːn, iːn, 6
fɪlɪt, fɪ, 1
fɪlɪt, ɪl, 2
fɪlɪt, lɪ, 3
fɪlɪt, ɪt, 4
fɪzɪsɪst, fɪ, 1
fɪzɪsɪst, ɪz, 2
fɪzɪsɪst, zɪ, 3
fɪzɪsɪst, ɪs, 4
fɪzɪsɪst, sɪ, 5
fɪzɪsɪst, ɪs, 6
fɪələsiz, fɪə, 1
fɪələsiz, ɪəl, 2
fɪələsiz, lə, 3
fɪələsiz, əs, 4
fɪələsiz, si, 5
fɪələsiz, iz, 6
fʊtbɔːlər, fʊ, 1
fʊtbɔːlər, ʊt, 2
fʊtbɔːlər, bɔː, 3
fʊtbɔːlər, ɔːl, 4
fʊtbɔːlər, lə, 5
fʊtbɔːlər, ər, 6
fʌs, fʌ, 1
fʌs, ʌs, 2
fʌŋki, fʌ, 1
fʌŋki, ʌŋ, 2
fʌŋki, ki, 3
geɪzɪz, geɪ, 1
geɪzɪz, eɪz, 2
geɪzɪz, zɪ, 3
giː, giː, 1
glæməraɪzd, læ, 1
glæməraɪzd, æm, 2
glæməraɪzd, mə, 3
glæməraɪzd, ər, 4
glæməraɪzd, raɪ, 5
glæməraɪzd, aɪz, 6
glɔːrɪfaɪ, lɔː, 1
glɔːrɪfaɪ, ɔːr, 2
glɔːrɪfaɪ, rɪ, 3
glɔːrɪfaɪ, ɪf, 4
glɔːrɪfaɪ, faɪ, 5
graʊndwɔːtər, raʊ, 1
graʊndwɔːtər, aʊn, 2
graʊndwɔːtər, wɔː, 3
graʊndwɔːtər, ɔːt, 4
graʊndwɔːtər, tə, 5
graʊndwɔːtər, ər, 6
greɪpfruːt, reɪ, 1
greɪpfruːt, eɪp, 2
greɪpfruːt, ruː, 3
greɪpfruːt, uːt, 4
greɪviz, reɪ, 1
greɪviz, eɪv, 2
greɪviz, vi, 3
greɪviz, iz, 4
greɪz, reɪ, 1
greɪz, eɪz, 2
gruːəlɪŋ, ruː, 1
gruːəlɪŋ, əl, 2
gruːəlɪŋ, lɪ, 3
gruːəlɪŋ, ɪŋ, 4
grændɪst, ræ, 1
grændɪst, æn, 2
grændɪst, dɪ, 3
grændɪst, ɪs, 4
græntʃaɪld, ræ, 1
græntʃaɪld, æn, 2
græntʃaɪld, tʃaɪ, 3
græntʃaɪld, aɪl, 4
grætɪfaɪɪŋ, ræ, 1
grætɪfaɪɪŋ, æt, 2
grætɪfaɪɪŋ, tɪ, 3
grætɪfaɪɪŋ, ɪf, 4
grætɪfaɪɪŋ, faɪ, 5
grætɪfaɪɪŋ, ɪŋ, 6
grɒtəʊz, rɒ, 1
grɒtəʊz, ɒt, 2
grɒtəʊz, təʊ, 3
grɒtəʊz, əʊz, 4
grɪzli, rɪ, 1
grɪzli, ɪz, 2
grɪzli, li, 3
grʌbz, rʌ, 1
grʌbz, ʌb, 2
gædʒɪtri, gæ, 1
gædʒɪtri, ædʒ, 2
gædʒɪtri, dʒɪ, 3
gædʒɪtri, ɪt, 4
gædʒɪtri, ri, 5
gæləksi, gæ, 1
gæləksi, æl, 2
gæləksi, lə, 3
gæləksi, ək, 4
gæləksi, si, 5
gærəntiːz, gæ, 1
gærəntiːz, ær, 2
gærəntiːz, rə, 3
gærəntiːz, ən, 4
gærəntiːz, tiː, 5
gærəntiːz, iːz, 6
gæstrɒnəmi, gæ, 1
gæstrɒnəmi, æs, 2
gæstrɒnəmi, rɒ, 3
gæstrɒnəmi, ɒn, 4
gæstrɒnəmi, nə, 5
gæstrɒnəmi, əm, 6
gæstrɒnəmi, mi, 7
gɑːnəd, gɑː, 1
gɑːnəd, ɑːn, 2
gɑːnəd, nə, 3
gɑːnəd, əd, 4
gɑːnɪʃt, gɑː, 1
gɑːnɪʃt, ɑːn, 2
gɑːnɪʃt, nɪ, 3
gɑːnɪʃt, ɪʃ, 4
gɒdesiz, gɒ, 1
gɒdesiz, ɒd, 2
gɒdesiz, de, 3
gɒdesiz, es, 4
gɒdesiz, si, 5
gɒdesiz, iz, 6
gɒlfər, gɒ, 1
gɒlfər, ɒl, 2
gɒlfər, fə, 3
gɒlfər, ər, 4
gɔːdʒiz, gɔː, 1
gɔːdʒiz, ɔːdʒ, 2
gɔːdʒiz, dʒi, 3
gɔːdʒiz, iz, 4
gəʊ, gəʊ, 1
gəʊ_tuː, gəʊ, 1
gəʊ_tuː, tuː, 2
gəʊt, gəʊ, 1
gəʊt, əʊt, 2
gɪtɑːrz, gɪ, 1
gɪtɑːrz, ɪt, 2
gɪtɑːrz, tɑː, 3
