a,eɪ
aaron,ˈɛərən
ABANDON,əˈbændən
ABANDONED,əˈbændənd
ABATE,əˈbeɪt
abdul-aziz,ˌɑbdulɑˈziz
abdullah,æbˈdʌlə
aberdeen,ˌæbəˈdiːn
ability,əbɪlɪti
able,eɪbəl
abnormal,æbnɔː(r)məl
ABOLISH,əˈbɒlɪʃ
about,əbaʊt
above,əbʌv
abroad,əbrɔːd
abrupt,əbrʌpt
ABS,ˌeɪ biː ˈes
absence,æbsəns
absent,æbsənt
absolutely,æbsəluːtli
absorb,əbzɔː(r)b
ABSORBED,əbˈzɔː(r)bd
ABSORBER,əbzɔː(r)bər
ABSORBING,əbˈzɔː(r)bɪŋ
ABSTAIN,əbˈsteɪn
abstract,æbstrækt
abu qîr,ˈabu
abuja,əˈbuːdʒə
abuse,əbjuːs
abusive,əbjuːsɪv
abyss,æbɪs
academic,ækədemɪk
academy,əkædəmi
ACCELERATE,əkˈseləreɪt
acceleration,ækseləreɪʃən
accent,æksənt
ACCEPT,əkˈsept
acceptable,ækseptəbəl
ACCEPTED,əkˈseptɪd
ACCESS,ˈækses
accessible,æksesɪbəl
accession,ækseʃən
ACCIDENT,ˈæksɪd(ə)nt
ACCLAIMED,əˈkleɪmd
ACCOMMODATE,əˈkɒmədeɪt
accommodation,əkɒmədeɪʃən
ACCOMPANIED,əˈkʌmp(ə)nid
ACCOMPLISHED,əˈkʌmplɪʃt
ACCORD,əˈkɔː(r)d
according,əˈkɔːdɪŋ
accordingly,əkɔː(r)dɪŋli
ACCOUNT,əˈkaʊnt
accountable,əkaʊntəbəl
ACCOUNTANT,əˈkaʊntənt
ACCOUNTING,əˈkaʊntɪŋ
accounts,əˈkaʊnts
ACCREDITED,əˈkredɪtɪd
ACCUMULATE,əˈkjuːmjʊleɪt
accumulation,əkjuːmjʊleɪʃən
accurate,ækjʊrət
ACCUSATION,ˌækjʊˈzeɪʃ(ə)n
ACCUSE,əˈkjuːz
accused,əkjuːzd
ACCUSING,əˈkjuːzɪŋ
ace,eɪs
ache,eɪk
ACHIEVE,əˈtʃiːv
achievement,ətʃiːvmənt
acid,æsɪd
ACKNOWLEDGE,əkˈnɒlɪdʒ
acknowledged,əkˈnɒlɪdʒdækˈnɑlɪdʒd
acne,ækni
ACQUIRE,əˈkwaɪə(r)
acquired,əˈkwaɪəd
acquirer,əkwaɪərə(r)
acquisition,ækwɪzɪʃən
ACQUISITIONS,ˌækwɪˈzɪʃ(ə)nz
acquisitive,əkwɪzɪtɪv
acres,ˈeɪkəz
ACRIS,@ACRIS
across,əkrɒs
ACT,ˌeɪ siː ˈtiː
ACTING,ˈæktɪŋ
ACTION,ˈækʃ(ə)n
active,æktɪv
activism,æktɪvɪzəm
ACTIVIST,ˈæktɪvɪst
ACTIVITY,ækˈtɪvəti
actress,æktrəs
acts,æktsækts
actual,æktʃuəl
actually,æktʃuəli
acute,əkjuːt
AD,ˌeɪ ˈdiː
adam,ˈædəm
adamant,ædəmənt
adapt,ədæpt
ADD,ˌeɪ diː ˈdiː
ADDED,ˈædɪd
adding,ˈædɪŋ
ADDITION,əˈdɪʃ(ə)n
additional,ədɪʃənəl
ADDRESS,əˈdres
addressing,əˈdresɪŋ
adelaide,ˈædɪˌleɪd
adequate,ædɪkwət
ADJOINING,əˈdʒɔɪnɪŋ
